PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
311.04,731.1641667,421.6816667,Happy
406.7266667,424.71,16.66666667,Happy
403.44,4080.456667,3680.326667,Happy
184.815,1543.83,1359.015,Happy
667.815,1203.63,535.815,Happy
745.935,809.1741667,64.02666667,Happy
342.015,1095.020833,752.64,Happy
549.1266667,628.3333333,79.20666667,Happy
30.82666667,1449.3975,1419.881667,Happy
172.8066667,1395.9975,1224.081667,Happy
1347.001667,2611.5,1264.401667,Happy
146.0266667,1209.043333,1061.34,Happy
54.60166667,1709.320833,1653.36,Happy
12.04166667,273.6866667,260.0416667,Happy
22.815,413.8541667,390.4266667,Happy
12.04166667,1236.123333,1224.081667,Happy
0.015,17.01666667,17.00166667,Happy
198.375,2345.416667,2147.041667,Happy
160.1666667,1000.333333,840.1666667,Happy
1617.041667,3194.966667,1577.881667,Happy
10.40166667,208.7766667,198.375,Happy
1466.406667,3541.576667,2075.76,Happy
7.935,84.03333333,75.615,Happy
36.015,42.35333333,7.041666667,Happy
428.415,1002.433333,574.2816667,Happy
0.54,2.670833333,2.041666667,Happy
1.706666667,44.37333333,42.66666667,Happy
252.2016667,1075.883333,823.6816667,Happy
39.015,75.03,36.015,Happy
113.535,360.5766667,247.0416667,Happy
3.375,1032.886667,1032.281667,Happy
217.2016667,2254.6875,2038.726667,Happy
52.80666667,294.15,240.6666667,Happy
495.0416667,3097.393333,2600.001667,Happy
440.3266667,439.7308333,0.281666667,Happy
319.74,1117.003333,798.1066667,Happy
58.28166667,461.1,405.0816667,Happy
303.8816667,439.2566667,135.375,Happy
393.66,2427.670833,2035.041667,Happy
715.0416667,831.8541667,116.16,Happy
413.34,2452.066667,2038.726667,Happy
438.615,827.3808333,390.4266667,Happy
8.881666667,816.4866667,805.0416667,Happy
75.615,102.7808333,27.30666667,Happy
957.6066667,3645.773333,2688.166667,Happy
977.9266667,1329.576667,352.6666667,Happy
285.66,325.7908333,41.08166667,Happy
4.166666667,931.6933333,927.5266667,Happy
1264.401667,3373.776667,2109.375,Happy
420.0066667,963.5241667,543.4016667,Happy
384.0,1498.083333,1115.206667,Happy
43.20166667,358.5766667,315.375,Happy
604.0066667,2423.310833,1820.041667,Happy
358.8266667,3892.053333,3533.226667,Happy
646.8816667,2444.7,1799.201667,Happy
830.7266667,2180.083333,1350.0,Happy
3.375,92.00083333,88.16666667,Happy
1027.041667,2663.843333,1636.801667,Happy
